state,year,quarter,brand,user_count,percentage
India,2018,1,Xiaomi,11926334,0.254413
India,2018,1,Samsung,9609401,0.204988
India,2018,1,Vivo,5894293,0.125737
India,2018,1,Oppo,4479351,0.0955536
India,2018,1,Realme,2376866,0.0507034
India,2018,1,Apple,1825153,0.0389342
India,2018,1,Motorola,1593250,0.0339873
India,2018,1,OnePlus,1536418,0.0327749
India,2018,1,Lenovo,1246507,0.0265905
India,2018,1,Huawei,808774,0.0172528
India,2018,1,Others,5581520,0.119065
India,2018,2,Xiaomi,16416511,0.257925
India,2018,2,Samsung,12943051,0.203353
India,2018,2,Vivo,8365074,0.131426
India,2018,2,Oppo,6246581,0.0981421
India,2018,2,Realme,3165738,0.049738
India,2018,2,Apple,2326897,0.0365587
India,2018,2,Motorola,2099718,0.0329894
India,2018,2,OnePlus,1890141,0.0296966
India,2018,2,Lenovo,1627153,0.0255647
India,2018,2,Huawei,1104740,0.0173569
India,2018,2,Others,7462707,0.117249
India,2018,3,Xiaomi,20859459,0.260708
India,2018,3,Samsung,16228372,0.202827
India,2018,3,Vivo,11118842,0.138967
India,2018,3,Oppo,8103650,0.101282
India,2018,3,Realme,3962596,0.0495257
India,2018,3,Apple,2774989,0.0346826
India,2018,3,Motorola,2529272,0.0316116
India,2018,3,OnePlus,2231557,0.0278906
India,2018,3,Lenovo,1857680,0.0232178
India,2018,3,Huawei,1444125,0.0180491
India,2018,3,Others,8900410,0.11124
India,2018,4,Xiaomi,26709586,0.261188
India,2018,4,Samsung,20740259,0.202815
India,2018,4,Vivo,14966905,0.146358
India,2018,4,Oppo,10754040,0.105162
India,2018,4,Realme,4997725,0.0488717
India,2018,4,Apple,3435529,0.0335953
India,2018,4,Motorola,3089947,0.030216
India,2018,4,OnePlus,2668868,0.0260983
India,2018,4,Lenovo,2257295,0.0220736
India,2018,4,Huawei,1899667,0.0185765
India,2018,4,Others,10742234,0.105046
India,2019,1,Xiaomi,32175910,0.260676
India,2019,1,Samsung,25070398,0.20311
India,2019,1,Vivo,18778714,0.152137
India,2019,1,Oppo,13426696,0.108777
India,2019,1,Realme,5948556,0.0481927
India,2019,1,Apple,4005092,0.0324476
India,2019,1,Motorola,3531217,0.0286084
India,2019,1,OnePlus,3042107,0.0246459
India,2019,1,Lenovo,2553783,0.0206897
India,2019,1,Huawei,2364933,0.0191597
India,2019,1,Others,12535293,0.101556
India,2019,2,Xiaomi,36936092,0.260465
India,2019,2,Samsung,28857066,0.203494
India,2019,2,Vivo,22157338,0.156249
India,2019,2,Oppo,15797055,0.111397
India,2019,2,Realme,6829373,0.0481592
India,2019,2,Apple,4511382,0.0318133
India,2019,2,Motorola,3917097,0.0276225
India,2019,2,OnePlus,3331797,0.0234951
India,2019,2,Lenovo,2826639,0.0199328
India,2019,2,Huawei,2738178,0.019309
India,2019,2,Others,13906209,0.0980635
India,2019,3,Xiaomi,41454122,0.260237
India,2019,3,Samsung,32271518,0.202591
India,2019,3,Vivo,25597791,0.160695
India,2019,3,Oppo,18090143,0.113565
India,2019,3,Realme,7851606,0.04929
India,2019,3,Apple,4969855,0.0311993
India,2019,3,Motorola,4193041,0.0263227
India,2019,3,OnePlus,3607223,0.0226451
India,2019,3,Huawei,3116564,0.0195649
India,2019,3,Lenovo,2892338,0.0181572
India,2019,3,Others,15249733,0.0957333
India,2019,4,Xiaomi,46286972,0.259632
India,2019,4,Samsung,35921409,0.20149
India,2019,4,Vivo,29444698,0.165161
India,2019,4,Oppo,20682715,0.116013
India,2019,4,Realme,9177720,0.0514795
India,2019,4,Apple,5361581,0.0300741
India,2019,4,Motorola,4494286,0.0252093
India,2019,4,OnePlus,3833328,0.0215018
India,2019,4,Huawei,3492460,0.0195898
India,2019,4,Lenovo,3062118,0.017176
India,2019,4,Others,16521798,0.0926738
India,2020,1,Xiaomi,51004503,0.258152
India,2020,1,Samsung,39560399,0.20023
India,2020,1,Vivo,33573609,0.169928
India,2020,1,Oppo,23375458,0.118312
India,2020,1,Realme,10582375,0.0535613
India,2020,1,Apple,5755009,0.0291282
India,2020,1,Motorola,4756036,0.024072
India,2020,1,OnePlus,4027133,0.0203828
India,2020,1,Huawei,3850925,0.0194909
India,2020,1,Lenovo,3276777,0.016585
India,2020,1,Others,17812940,0.0901578
India,2020,2,Xiaomi,56202867,0.256638
India,2020,2,Samsung,43708551,0.199586
India,2020,2,Vivo,38093292,0.173945
India,2020,2,Oppo,26438928,0.120728
India,2020,2,Realme,12034857,0.0549546
India,2020,2,Apple,6099798,0.0278534
India,2020,2,Motorola,5066664,0.0231358
India,2020,2,Huawei,4210805,0.0192277
India,2020,2,OnePlus,4176941,0.0190731
India,2020,2,Lenovo,3472895,0.0158582
India,2020,2,Others,19490728,0.0890002
India,2020,3,Xiaomi,61383234,0.254523
India,2020,3,Samsung,48012276,0.199081
India,2020,3,Vivo,43182078,0.179053
India,2020,3,Oppo,29530065,0.122445
India,2020,3,Realme,13737667,0.0569627
India,2020,3,Apple,6523683,0.0270502
India,2020,3,Motorola,5363550,0.0222397
India,2020,3,Huawei,4565437,0.0189304
India,2020,3,OnePlus,4382412,0.0181715
India,2020,3,Lenovo,3679349,0.0152563
India,2020,3,Others,20809932,0.0862875
India,2020,4,Xiaomi,66711711,0.252436
India,2020,4,Samsung,52578970,0.198958
India,2020,4,Vivo,48210115,0.182427
India,2020,4,Oppo,32684041,0.123676
India,2020,4,Realme,15590747,0.0589952
India,2020,4,Apple,7052763,0.0266876
India,2020,4,Motorola,5650618,0.0213819
India,2020,4,Huawei,4915828,0.0186014
India,2020,4,OnePlus,4621214,0.0174866
